Site,Species,Plot,Position,Tag_ID,Population,GreenhouseID,Clone,Endo,Tiller_24,Flowering ,date_24,Herbivory_treatment
KER,ELVI,3,13,D2_KE3_13,PALM,225H,NA,0,1,0,3-7-2024,0
KER,ELVI,3,14,D2_KE3_14,SHS,107-160A-2,NA,0,2,0,3-7-2024,0
KER,ELVI,3,15,D2_KE3_15,HUNT,F32,AB,1,4,0,3-7-2024,0
KER,ELVI,4,1,3247,SHS,106-36A-1,NA,1,3,0,3-7-2024,1
KER,ELVI,4,2,3248,JLP,110-2A-23,NA,1,3,0,3-7-2024,1
KER,ELVI,4,3,3249,SHS,107-160A-19,NA,0,2,0,3-7-2024,1
KER,ELVI,4,4,3250,PALM,198H,NA,0,1,0,3-7-2024,1
KER,ELVI,4,5,3251,JLP,110-2A-24,NA,1,8,0,3-7-2024,1
KER,ELVI,4,6,3252,HUNT,F44,AC,1,6,0,3-7-2024,1
KER,ELVI,4,7,D2_KE4_7,PALM,B35-32,NA,1,7,0,3-7-2024,1
KER,ELVI,4,8,3253,JLP,110-2A-25,NA,1,7,0,3-7-2024,1
KER,ELVI,4,9,D2_KE4_9,PALM,B35-33,NA,1,5,0,3-7-2024,1
KER,ELVI,4,10,D2_KE4_10,RL5,D59-4,NA,1,2,0,3-7-2024,1
KER,ELVI,4,11,3256,RL5,D75,AC,1,10,0,3-7-2024,1
KER,ELVI,4,12,3257,SHS,106-36A-5,NA,1,10,0,3-7-2024,1
KER,ELVI,4,13,D2_KE4_13,PALM,B35-34,NA,1,4,0,3-7-2024,1
KER,ELVI,4,14,D2_KE4_14,HUNT,F32,AC,1,4,0,3-7-2024,1
KER,ELVI,4,15,3258,JLP,110-52C-18,NA,0,1,0,3-7-2024,1
KER,ELVI,5,1,D2_KE5_1,JLP,110-2A-37,NA,1,4,0,3-7-2024,1
KER,ELVI,5,2,D2_KE5_2,RL5,C32-AA,AB,0,5,0,3-7-2024,1
KER,ELVI,5,3,D2_KE5_3,RL5,C32,AC,0,5,0,3-7-2024,1
KER,ELVI,5,4,D2_KE5_4,PALM,371H,NA,0,1,0,3-7-2024,1
KER,ELVI,5,5,D2_KE5_5,RL5,D59-6,NA,1,12,0,3-7-2024,1
KER,ELVI,5,6,D2_KE5_6,PALM,I15,NA,1,2,0,3-7-2024,1
KER,ELVI,5,7,D2_KE5_7,PALM,B35-36,NA,1,6,0,3-7-2024,1
KER,ELVI,5,8,3254,JLP,110-52C-13,NA,0,2,0,3-7-2024,1
KER,ELVI,5,9,D2_KE5_9,JLP,110-52C-21,NA,0,3,0,3-7-2024,1
KER,ELVI,5,10,D2_KE5_10,PALM,B35-35,NA,1,6,0,3-7-2024,1
KER,ELVI,5,11,D2_KE5_11,JLP,110-52C-12,NA,0,1,0,3-7-2024,1
KER,ELVI,5,12,D2_KE5_12,SHS,107-160A-15,NA,0,5,0,3-7-2024,1
KER,ELVI,5,13,3228,SHS,107-160A-16,NA,0,8,0,3-7-2024,1
KER,ELVI,5,14,D2_KE5_14,PALM,271H,NA,0,3,0,3-7-2024,1
KER,ELVI,5,15,3255,JLP,110-2A-36,NA,1,4,0,3-7-2024,1
KER,ELVI,6,1,3240,RL5,D54,NA,1,4,0,3-7-2024,1
KER,ELVI,6,2,3241,SHS,106-36A-4,NA,1,7,0,3-7-2024,1
KER,ELVI,6,3,3242,JLP,110-2A-34,NA,1,7,0,3-7-2024,1
KER,ELVI,6,4,D2_KE6_4,PALM,71H,NA,0,1,0,3-7-2024,1
KER,ELVI,6,5,3243,JLP,110-52C-16,NA,0,1,0,3-7-2024,1
KER,ELVI,6,6,3244,JLP,110-52C-17,NA,0,3,0,3-7-2024,1
KER,ELVI,6,7,3245,JLP,110-2A-40,NA,1,5,0,3-7-2024,1
KER,ELVI,6,8,3246,JLP,110-2A-35,NA,1,5,0,3-7-2024,1
KER,ELVI,6,9,3259,PALM,B35-11,NA,1,5,0,3-7-2024,1
KER,ELVI,6,10,3260,SHS,107-160A-17,NA,0,7,0,3-7-2024,1
KER,ELVI,6,11,D2_KE6_11,PALM,100,AL,0,6,0,3-7-2024,1
KER,ELVI,6,12,3261,PALM,B35-7,NA,1,4,0,3-7-2024,1
KER,ELVI,6,13,D2_KE6_13,RL5,D51,NA,1,6,0,3-7-2024,1
KER,ELVI,6,14,D2_KE6_14,PALM,171H,NA,0,1,0,3-7-2024,1
KER,ELVI,6,15,D2_KE6_15,SHS,106-36A-6,NA,1,5,0,3-7-2024,1
KER,ELVI,7,1,D2_KE7_1,PALM,B35-38,NA,1,3,0,3-7-2024,0
KER,ELVI,7,2,D2_KE7_2,PALM,7263H,NA,0,1,0,3-7-2024,0
KER,ELVI,7,3,D2_KE7_3,SHS,106-36A-3,NA,1,9,0,3-7-2024,0
